SNO,Name,Acronym,Region,State,Type,SigaaUrl/Edital,School URL
1,Universidade Estadual de Roraima,UERR,Norte,Roraima,State,Edital - UERR Univesity of Roraima,https://uerr.edu.br/
2,Universidade Estadual do Tocantins,UNITINS,Norte,Tocantins,State,https://www.unitins.br/concursos/publico,https://www.unitins.br/
3,Universidade Federal Rural da Amazônia,UFRA,Norte,Pará,Federal,https://sigaa.ufra.edu.br/sigaa/public/processo_seletivo/lista.jsf?nivel=S&aba=p-stricto,https://www.ufra.edu.br/
4,Universidade Federal de Rondônia,UNIR,Norte,Rondônia,Federal,https://sigaa.unir.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://www.unir.br/
5,Universidade Federal de Roraima,UFRR,Norte,Roraima,Federal,https://sigaa.ufrr.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://ufrr.br/
6,Universidade Federal do Acre,UFAC,Norte,Acre,Federal,https://www.ufac.br/site/ufac/propeg/mestrados-e-doutorados,https://www.ufac.br/
7,Universidade Federal do Amapá,UNIFAP,Norte,Amapá,Federal,https://sigaa.unifap.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://www.unifap.br/
8,Universidade Federal do Amazonas,UFAM,Norte,Amazonas,Federal,https://ppgee.ufam.edu.br/editais-de-selecao.html,https://www.ufam.edu.br/
9,Universidade Federal do Norte do Tocantins,UFNT,Norte,Tocantins,Federal,https://sistemas.ufnt.edu.br/seletivos,https://ufnt.edu.br/
10,Universidade Federal do Oeste do Pará,UFOPA,Norte,Pará,Federal,https://sigaa.ufopa.edu.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://www.ufopa.edu.br/
11,Universidade Federal do Pará,UFPA,Norte,Pará,Federal,https://sigaa.ufpa.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://ufpa.br/
12,Universidade Federal do Sul e Sudeste do Pará,UNIFESSPA,Norte,Pará,Federal,https://sigaa.unifesspa.edu.br/sigaa/public/processo_seletivo/lista.jsf?aba=p-stricto&nivel=S,https://www.unifesspa.edu.br/
