University,Program,Level,Type,CAPES_Score,Status
Fundação Centro Universitário Zona Oeste do Rio de Janeiro,CIÊNCIA E TECNOLOGIA AMBIENTAL,MESTRADO PROFISSIONAL,PROFISSIONAL,3,EM FUNCIONAMENTO
Fundação Centro Universitário Zona Oeste do Rio de Janeiro,CIÊNCIA E TECNOLOGIA DE MATERIAIS,MESTRADO PROFISSIONAL,PROFISSIONAL,3,EM FUNCIONAMENTO
Universidade Estadual Paulista Júlio de Mesquita Filho,ARTES,MESTRADO/DOUTORADO,ACADÊMICO,5,EM FUNCIONAMENTO
Universidade Estadual Paulista Júlio de Mesquita Filho,DESENVOLVIMENTO TERRITORIAL NA AMÉRICA LATINA E CARIBE,MESTRADO/DOUTORADO,ACADÊMICO,4,EM FUNCIONAMENTO
Universidade Estadual Paulista Júlio de Mesquita Filho,MÚSICA,MESTRADO/DOUTORADO,ACADÊMICO,4,EM FUNCIONAMENTO
Universidade Estadual Paulista Júlio de Mesquita Filho,RELAÇÕES INTERNACIONAIS (UNESP - UNICAMP - PUC-SP),MESTRADO/DOUTORADO,ACADÊMICO,5,EM FUNCIONAMENTO
Universidade Estadual Vale do Acaraú,FILOSOFIA,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
Universidade Estadual Vale do Acaraú,GEOGRAFIA,MESTRADO,ACADÊMICO,4,EM FUNCIONAMENTO
Universidade Estadual Vale do Acaraú,ZOOTECNIA,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,CIÊNCIAS AGRÁRIAS,MESTRADO,ACADÊMICO,5,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,CIÊNCIAS FARMACÊUTICAS,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,DESENVOLVIMENTO REGIONAL,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,ENSINO DE CIÊNCIAS E EDUCAÇÃO MATEMÁTICA,MESTRADO,ACADÊMICO,4,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,PSICOLOGIA DA SAÚDE,MESTRADO,ACADÊMICO,4,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,QUÍMICA,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
Universidade Estadual da Paraíba,RELAÇOES INTERNACIONAIS,MESTRADO,ACADÊMICO,3,EM FUNCIONAMENTO
